Fecha,Hora,IP origen,IP destino, Prot. Capa Transporte,Puerto origen,Puerto destino,Community SNMP
Apr 14, 2022 13:27:32.700445000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.700750000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.716567000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.716856000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.732481000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.732779000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.748289000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.748560000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.764218000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.764458000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.780157000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.780472000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.796324000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.796606000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.812235000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.812454000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.828069000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.828290000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.843996000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.844801000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.859965000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.860222000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.874941000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.875131000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.890856000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.891002000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.906865000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.907132000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.922861000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.923140000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.938780000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.939044000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
